Rank,Athlete,Nation,Bodyweight,Snatch,Clean & Jerk,Total,Year
4,Yoichi Itokazu,Japan,61.87,133,169,302,2016
5,Ahmed Saad,Egypt,62.0,133,161,294,2016
6,Morea Baru,Papua New Guinea,61.72,126,164,290,2016
7,Muhammad Hasbi,Indonesia,61.97,130,160,290,2016
8,Vaipava Nevo Ioane,Samoa,61.9,120,161,281,2016
9,Han Myeong-mok,South Korea,61.81,130,150,280,2016
10,Julio Salamanca,El Salvador,62.0,120,155,275,2016
11,Julio Acosta González,Chile,61.3,120,146,266,2016
12,Yosuke Nakayama,Japan,62.0,121,145,266,2016
13,Rick Yves Confiance,Seychelles,62.0,105,127,232,2016
1,Shi Zhiyong ,China,68.72,162,190,352,2016
2,Daniyar Ismayilov ,Turkey,68.59,163,188,351,2016
3,Luis Javier Mosquera ,Colombia,68.54,155,183,338,2016
4,Bredni Roque ,Mexico,68.63,145,181,326,2016
5,Briken Calja ,Albania,68.84,145,181,326,2016
6,Serghei Cechir ,Moldova,68.75,144,178,322,2016
7,Bernardin Matam ,France,68.71,140,180,320,2016
8,Won Jeong-sik ,South Korea,68.95,143,177,320,2016
9,Triyatno ,Indonesia,68.6,142,175,317,2016
10,David Sánchez ,Spain,68.61,142,175,317,2016
11,Tairat Bunsuk ,Thailand,68.65,137,179,316,2016
12,Muhammad Erry Hidayat ,Malaysia,68.71,140,176,316,2016
13,Kwon Yong-gwang ,North Korea,68.36,137,176,313,2016
14,Doston Yokubov ,Uzbekistan,68.95,137,176,313,2016
15,Edwin Mosquera ,Colombia,68.69,140,170,310,2016
16,Mohsen Al-Duhaylib ,Saudi Arabia,68.96,135,162,297,2016
17,Pan Chien-hung ,Chinese Taipei,68.79,136,160,296,2016
1,Lü Xiaojun ,China,76.83,177,202,379,2016
2,Mohamed Ehab ,Egypt,76.69,165,196,361,2016
3,Chatuphum Chinnawong ,Thailand,76.52,165,191,356,2016
4,Alexandru Șpac ,Moldova,76.52,155,192,347,2016
5,Andrés Caicedo ,Colombia,76.26,155,191,346,2016
6,Andrés Mata ,Spain,76.32,153,190,343,2016
7,Choe Jon-wi ,North Korea,76.54,153,190,343,2016
8,Ibrahim Abdelbaki ,Egypt,76.9,152,186,338,2016
9,Nico Müller ,Germany,76.7,151,181,332,2016
10,Sathish Sivalingam ,India,76.96,148,181,329,2016
11,Deni ,Indonesia,69.38,146,177,323,2016
1,Kianoush Rostami ,Iran,84.26,179,217,396,2016
2,Tian Tao ,China,84.85,178,217,395,2016
3,Denis Ulanov ,Kazakhstan,84.95,175,215,390,2016
4,Oleksandr Pielieshenko ,Ukraine,84.73,175,210,385,2016
5,Petr Asayonak ,Belarus,84.24,170,207,377,2016
6,Pavel Khadasevich ,Belarus,84.47,170,195,365,2016
7,Fares El-Bakh ,Qatar,84.79,158,203,361,2016
8,Giovanni Bardis ,France,84.63,165,192,357,2016
9,Benjamin Hennequin ,France,84.43,155,195,350,2016
10,Yoelmis Hernández ,Cuba,84.49,150,200,350,2016
11,Theodoros Iakovidis ,Greece,84.58,160,190,350,2016
12,Pascal Plamondon ,Canada,85.0,155,190,345,2016
13,Yu Dong-ju ,South Korea,84.44,150,190,340,2016
14,Amar Musić ,Croatia,84.58,150,186,336,2016
15,Richie Patterson ,New Zealand,84.13,149,181,330,2016
16,Hoàng Tấn Tài ,Vietnam,84.27,145,180,325,2016
17,Welisson Silva ,Brazil,84.69,145,180,325,2016
18,Milko Tokola ,Finland,84.79,145,175,320,2016
19,Khalid El-Aabidi ,Morocco,80.57,120,165,285,2016
20,Christian Amoah ,Ghana,83.52,130,153,283,2016
1,Sohrab Moradi ,Iran,93.64,182,221,403,2016
2,Vadzim Straltsou ,Belarus,93.7,175,220,395,2016
3,Aurimas Didžbalis ,Lithuania,92.42,177,215,392,2016
4,Sarat Sumpradit ,Thailand,93.05,177,213,390,2016
5,Ragab Abdelhay ,Egypt,93.45,174,213,387,2016
6,Dmytro Chumak ,Ukraine,93.66,174,213,387,2016
7,Ali Hashemi ,Iran,93.1,173,210,383,2016
8,Aliaksandr Bersanau ,Belarus,93.57,173,208,381,2016
9,Volodymyr Hoza ,Ukraine,93.66,170,205,375,2016
10,Park Han-woong ,South Korea,92.39,165,202,367,2016
11,Kendrick Farris ,United States,93.24,160,197,357,2016
12,Kévin Bouly ,France,93.76,155,190,345,2016
13,Simplice Ribouem ,Australia,93.25,155,185,340,2016
14,Sonny Webster ,Great Britain,93.58,148,185,333,2016
15,Cristopher Pavón ,Honduras,93.26,145,180,325,2016
16,Petit Minkoumba ,Cameroon,91.61,140,165,305,2016
17,James Adede ,Kenya,92.89,116,140,256,2016
1,Ruslan Nurudinov ,Uzbekistan,104.96,194,237,431,2016
2,Simon Martirosyan ,Armenia,104.63,190,227,417,2016
3,Aleksandr Zaychikov ,Kazakhstan,104.51,193,223,416,2016
4,Yang Zhe ,China,104.59,190,225,415,2016
5,Ivan Efremov ,Uzbekistan,104.9,194,220,414,2016
6,Mohammad Reza Barari ,Iran,104.65,186,220,406,2016
7,Arkadiusz Michalski ,Poland,104.77,179,221,400,2016
8,Artūrs Plēsnieks ,Latvia,103.99,181,218,399,2016
9,Salwan Jassim Abbood ,Iraq,103.8,180,214,394,2016
10,Jürgen Spieß ,Germany,104.51,170,220,390,2016
11,Sargis Martirosjan ,Austria,104.19,179,210,389,2016
12,Gaber Mohamed ,Egypt,104.98,173,204,377,2016
13,Hernán Viera ,Peru,103.85,151,200,351,2016
14,David Katoatau ,Kiribati,104.58,145,204,349,2016
1,Lasha Talakhadze ,Georgia,157.34,215,258,473,2016
2,Gor Minasyan ,Armenia,143.67,210,241,451,2016
3,Irakli Turmanidze ,Georgia,135.58,207,241,448,2016
4,Ruben Aleksanyan ,Armenia,151.64,195,245,440,2016
5,Fernando Reis ,Brazil,154.58,195,240,435,2016
6,Rustam Djangabaev ,Uzbekistan,145.88,195,237,432,2016
7,Mart Seim ,Estonia,149.1,187,243,430,2016
8,Jiří Orság ,Czech Republic,127.27,185,240,425,2016
9,Almir Velagić ,Germany,149.17,188,232,420,2016
10,Péter Nagy ,Hungary,158.86,193,227,420,2016
11,Sardorbek Dustmurotov ,Uzbekistan,109.79,179,232,411,2016
12,Aliksei Mzhachyk ,Belarus,135.6,187,224,411,2016
13,Walid Bidani ,Algeria,123.46,190,220,410,2016
14,Fernando Salas ,Ecuador,162.5,184,221,405,2016
15,Man Asaad ,Syria,143.42,180,220,400,2016
16,Alexej Prochorow ,Germany,138.31,180,215,395,2016
17,Igor Olshanetskyi ,Israel,129.54,165,207,372,2016
18,Ondrej Kružel ,Slovakia,118.64,165,206,371,2016
19,Ihor Shymechko ,Ukraine,129.75,170,195,365,2016
1,Sopita Tanasan,Thailand,47.91,92,108,200,2016
2,Sri Wahyuni Agustiani,Indonesia,47.25,85,107,192,2016
3,Hiromi Miyake,Japan,47.95,81,107,188,2016
4,Beatriz Pirón,Dominican Republic,47.5,85,102,187,2016
5,Margarita Yelisseyeva,Kazakhstan,47.72,80,106,186,2016
6,Morghan King,United States,47.79,83,100,183,2016
7,Chen Wei-ling,Chinese Taipei,47.13,81,100,181,2016
8,Iulia Paratova,Ukraine,47.74,84,95,179,2016
9,Roilya Ranaivosoa,Mauritius,47.9,80,93,173,2016
10,Zhanyl Okoeva,Kyrgyzstan,47.56,72,97,169,2016
1,Hsu Shu-ching,Chinese Taipei,52.6,100,112,212,2016
2,Hidilyn Diaz,Philippines,52.61,88,112,200,2016
3,Yoon Jin-hee,South Korea,52.59,88,111,199,2016
4,Rebeka Koha,Latvia,52.11,90,107,197,2016
5,Rosane Santos,Brazil,52.57,90,103,193,2016
6,Kanae Yagi,Japan,52.39,81,105,186,2016
7,Dewi Safitri,Indonesia,52.78,80,105,185,2016
8,Evagjelia Veli,Albania,51.58,75,90,165,2016
9,Lely Burgos,Puerto Rico,49.53,72,90,162,2016
10,Scarleth Mercado,Nicaragua,52.85,66,89,155,2016
11,Fiorella Cueva,Peru,48.32,65,88,153,2016
12,Sofía Rito,Uruguay,51.74,64,82,146,2016
1,Sukanya Srisurat,Thailand,56.89,110,130,240,2016
2,Pimsiri Sirikaew,Thailand,57.4,102,130,232,2016
3,Kuo Hsing-chun,Chinese Taipei,57.86,102,129,231,2016
4,Alexandra Escobar,Ecuador,57.23,100,123,223,2016
5,Mikiko Ando,Japan,57.56,94,124,218,2016
6,Yuderqui Contreras,Dominican Republic,57.58,100,117,217,2016
7,Lina Rivas,Colombia,57.92,96,120,216,2016
8,Patricia Domínguez,Mexico,57.47,96,115,211,2016
9,Yusleidy Figueroa,Venezuela,57.71,85,116,201,2016
10,Sabine Kusterer,Germany,57.7,90,110,200,2016
11,Mathlynn Sasser,Marshall Islands,56.8,87,112,199,2016
12,Angelica Roos,Sweden,57.9,84,110,194,2016
13,Veronika Ivasiuk,Ukraine,57.1,90,103,193,2016
14,Tia-Clair Toomey,Australia,57.7,82,107,189,2016
15,Jenly Tegu Wini,Solomon Islands,57.5,84,104,188,2016
16,Ayesha Al-Balooshi,United Arab Emirates,57.0,72,90,162,2016
1,Deng Wei,China,62.34,115,147,262,2016
2,Choe Hyo-sim,North Korea,62.17,105,143,248,2016
3,Karina Goricheva,Kazakhstan,62.66,111,132,243,2016
4,Mercedes Pérez,Colombia,62.74,104,130,234,2016
5,Eva Gurrola,Mexico,62.6,100,120,220,2016
6,Giorgia Bordignon,Italy,62.75,98,119,217,2016
7,Esraa El-Sayed,Egypt,61.98,100,116,216,2016
8,Marina Rodríguez,Cuba,62.2,94,121,215,2016
9,Namika Matsumoto,Japan,62.86,90,115,205,2016
10,Anni Vuohijoki,Finland,62.26,85,107,192,2016
11,Joana Palacios,Argentina,62.95,83,107,190,2016
12,Elisa Ravololoniaina,Madagascar,61.91,85,100,185,2016
13,Mehtap Kurnaz,Turkey,62.16,81,100,181,2016
1,Xiang Yanmei,China,68.78,116,145,261,2016
2,Zhazira Zhapparkul,Kazakhstan,69.0,115,144,259,2016
3,Sara Ahmed,Egypt,68.0,112,143,255,2016
4,Leydi Solís,Colombia,68.61,110,143,253,2016
5,Nazik Avdalyan,Armenia,68.55,107,135,242,2016
6,Darya Pachabut,Belarus,66.88,105,132,237,2016
7,Neisi Dajomes,Ecuador,68.83,107,130,237,2016
8,Mönkhjantsangiin Ankhtsetseg,Mongolia,68.97,106,131,237,2016
9,Marie-Ève Beauchemin-Nadeau,Canada,68.81,98,130,228,2016
10,Rebekah Tiler,Great Britain,68.59,101,126,227,2016
11,Apolonia Vaivai,Fiji,68.88,88,113,201,2016
12,Duygu Aynacı,Turkey,68.83,90,110,200,2016
13,Gulnabat Kadyrova,Turkmenistan,68.73,90,105,195,2016
14,Arcangeline Fouodji,Cameroon,68.08,82,105,187,2016
1,Rim Jong-sim,North Korea,74.47,121,153,274,2016
2,Darya Naumava,Belarus,74.63,116,142,258,2016
3,Lidia Valentín,Spain,74.0,116,141,257,2016
4,Ubaldina Valoyes,Colombia,74.28,111,136,247,2016
5,Iryna Dekha,Ukraine,74.89,114,133,247,2016
6,Jenny Arthur,United States,74.65,107,135,242,2016
7,María Fernanda Valdés,Chile,74.66,107,135,242,2016
8,Gaëlle Nayo-Ketchanke,France,73.61,102,135,237,2016
9,Alejandra Garza,Mexico,74.59,98,126,224,2016
10,Sona Poghosyan,Armenia,72.52,97,126,223,2016
11,Mary Opeloge,Samoa,74.56,100,118,218,2016
12,Natalia Prișcepa,Moldova,73.72,97,116,213,2016
13,Assiya İpek,Turkey,69.77,83,103,186,2016
14,Samira Ouass,Morocco,73.68,75,97,172,2016
1,Meng Suping,China,120.27,130,177,307,2016
2,Kim Kuk-hyang,North Korea,100.43,131,175,306,2016
3,Sarah Robles,United States,143.3,126,160,286,2016
4,Shaimaa Khalaf,Egypt,123.75,117,161,278,2016
5,Lee Hui-sol,South Korea,119.49,122,153,275,2016
6,Son Young-hee,South Korea,109.58,118,155,273,2016
7,Yaniuska Espinosa,Venezuela,114.08,121,152,273,2016
8,Andreea Aanei,Romania,120.01,120,145,265,2016
9,Mariam Usman,Nigeria,122.39,115,150,265,2016
10,Anastasiya Lysenko,Ukraine,100.97,117,146,263,2016
11,Yosra Dhieb,Tunisia,120.06,111,138,249,2016
12,Anastasiia Hotfrid,Georgia,86.98,113,135,248,2016
13,Tracey Lambrechs,New Zealand,106.54,98,133,231,2016
14,Luisa Peters,Cook Islands,100.27,100,124,224,2016
15,Bouchra Fatima Zohra Hirech,Algeria,80.35,87,105,192,2016
1,Li Fabin,China,60.9,141,172,313,2020
2,Eko Yuli Irawan,Indonesia,60.8,137,165,302,2020
3,Igor Son,Kazakhstan,60.25,131,163,294,2020
4,Yoichi Itokazu,Japan,60.85,133,159,292,2020
5,Seraj Al-Saleem,Saudi Arabia,60.9,129,159,288,2020
6,Davide Ruiu,Italy,60.9,127,159,286,2020
7,Shota Mishvelidze,Georgia,60.95,130,155,285,2020
8,Luis García,Dominican Republic,60.95,120,154,274,2020
9,Simon Brandhuber,Germany,61.0,123,145,268,2020
10,Morea Baru,Papua New Guinea,61.0,118,147,265,2020
11,Eric Andriantsitohaina,Madagascar,60.1,114,150,264,2020
12,Marcos Rojas,Peru,60.9,105,135,240,2020
1,Chen Lijun,China,66.85,145,187,332,2020
2,Luis Javier Mosquera,Colombia,66.85,151,180,331,2020
3,Mirko Zanni,Italy,66.95,145,177,322,2020
4,Han Myeong-mok,South Korea,66.9,147,174,321,2020
5,Talha Talib,Pakistan,66.95,150,170,320,2020
6,Adkhamjon Ergashev,Uzbekistan,67.0,139,173,312,2020
7,Mitsunori Konnai,Japan,66.95,135,172,307,2020
8,Goga Chkheidze,Georgia,66.95,133,169,302,2020
9,Deni,Indonesia,66.75,135,166,301,2020
10,Jonathan Muñoz,Mexico,66.85,135,163,298,2020
11,Tojonirina Andriantsitohaina,Madagascar,66.0,130,155,285,2020
12,Ruben Katoatau,Kiribati,67.0,105,140,245,2020
1,Shi Zhiyong,China,72.85,166,198,364,2020
2,Julio Mayora,Venezuela,72.6,156,190,346,2020
3,Rahmat Erwin Abdullah,Indonesia,72.41,152,190,342,2020
4,Briken Calja,Albania,72.85,151,190,341,2020
5,Bozhidar Andreev,Bulgaria,72.75,154,184,338,2020
6,Karem Ben Hnia,Tunisia,72.8,153,185,338,2020
7,Masanori Miyamoto,Japan,72.8,147,188,335,2020
8,Marin Robu,Moldova,72.95,155,175,330,2020
9,Clarence Cummings,United States,72.9,145,180,325,2020
10,David Sánchez,Spain,72.9,146,177,323,2020
11,Jorge Cárdenas,Mexico,72.65,145,175,320,2020
12,Mahmoud Al-Humayd,Saudi Arabia,72.5,141,165,306,2020
13,Brandon Wakeling,Australia,72.4,125,166,291,2020
14,Abderrahim Moum,Morocco,71.95,127,151,278,2020
1,Lü Xiaojun,China,80.75,170,204,374,2020
2,Zacarías Bonnat,Dominican Republic,80.9,163,204,367,2020
3,Antonino Pizzolato,Italy,80.9,165,200,365,2020
4,Harrison Maurus,United States,80.95,161,200,361,2020
5,Brayan Rodallegas,Colombia,80.8,163,196,359,2020
6,Ritvars Suharevs,Latvia,80.9,163,195,358,2020
7,Nico Müller,Germany,80.9,159,195,354,2020
8,Andrés Mata,Spain,80.7,158,189,347,2020
9,Erkand Qerimaj,Albania,80.55,157,181,338,2020
10,Amur Salim Al-Khanjari,Oman,81.0,140,177,317,2020
11,Cameron McTaggart,New Zealand,80.8,140,175,315,2020
1,Fares El-Bakh,Qatar,95.7,177,225,402,2020
2,Keydomar Vallenilla,Venezuela,95.0,177,210,387,2020
3,Anton Pliesnoi,Georgia,96.0,177,210,387,2020
4,Boady Santavy,Canada,95.4,178,208,386,2020
5,Chen Po-jen,Chinese Taipei,95.85,176,205,381,2020
6,Bekdoolot Rasulbekov,Kyrgyzstan,95.7,166,208,374,2020
7,Bartłomiej Adamus,Poland,95.95,163,197,360,2020
8,Yu Dong-ju,South Korea,92.55,160,200,360,2020
9,Olfides Sáez,Cuba,92.35,156,203,359,2020
10,Cyrille Tchatchet II,Refugee Olympic Team,95.45,155,195,350,2020
11,Theodoros Iakovidis,Greece,91.9,156,182,338,2020
1,Akbar Djuraev,Uzbekistan,109.0,193,237,430,2020
2,Simon Martirosyan,Armenia,108.9,195,228,423,2020
3,Artūrs Plēsnieks,Latvia,108.85,180,230,410,2020
4,Timur Naniev,ROC,108.95,188,221,409,2020
5,Hristo Hristov,Bulgaria,108.9,189,219,408,2020
6,Jin Yun-seong,South Korea,107.3,180,220,400,2020
7,Arkadiusz Michalski,Poland,108.6,175,216,391,2020
8,Wesley Kitts,United States,108.35,177,213,390,2020
9,Aymen Bacha,Tunisia,108.1,177,211,388,2020
10,Öwez Öwezow,Turkmenistan,108.8,171,200,371,2020
11,Arnas Šidiškis,Lithuania,105.35,156,187,343,2020
12,Matthew Lydement,Australia,108.35,158,180,338,2020
13,Tanumafili Jungblut,American Samoa,108.9,150,180,330,2020
1,Lasha Talakhadze,Georgia,177.00,223,265,488,2020
2,Ali Davoudi,Iran,168.25,200,241,441,2020
3,Man Asaad,Syria,147.55,190,234,424,2020
4,Hojamuhammet Toýçyýew,Turkmenistan,141.85,184,230,414,2020
5,David Liti,New Zealand,176.55,178,236,414,2020
6,Enzo Kuworge,Netherlands,161.10,175,234,409,2020
7,Péter Nagy,Hungary,160.30,178,218,396,2020
8,Marcos Ruiz,Spain,109.90,180,215,395,2020
9,Caine Wilkes,United States,151.15,173,217,390,2020
10,Sargis Martirosjan,Austria,114.35,180,201,381,2020
11,David Litvinov,Israel,128.30,176,205,381,2020
12,Hsieh Yun-ting,Chinese Taipei,126.05,172,206,378,2020
1,Hou Zhihui,China,49.0,94,116,210,2020
2,Saikhom Mirabai Chanu,India,48.85,87,115,202,2020
3,Windy Cantika Aisah,Indonesia,48.8,84,110,194,2020
4,Fang Wan-ling,Chinese Taipei,48.65,80,101,181,2020
5,Nina Sterckx,Belgium,48.75,81,99,180,2020
6,Ludia Montero,Cuba,49.0,82,96,178,2020
7,Anaïs Michel,France,48.9,78,99,177,2020
8,Beatriz Pirón,Dominican Republic,49.0,81,95,176,2020
9,Natasha Rosa Figueiredo,Brazil,48.95,78,95,173,2020
10,Dika Toua,Papua New Guinea,48.95,72,95,167,2020
11,Roilya Ranaivosoa,Mauritius,48.95,73,91,164,2020
1,Hidilyn Diaz,Philippines,54.8,97,127,224,2020
2,Liao Qiuyun,China,54.65,97,126,223,2020
3,Zulfiya Chinshanlo,Kazakhstan,54.95,90,123,213,2020
4,Muattar Nabieva,Uzbekistan,54.95,98,114,212,2020
5,Kamila Konotop,Ukraine,54.95,94,112,206,2020
6,Kristina Şermetowa,Turkmenistan,54.85,90,115,205,2020
7,Ham Eun-ji,South Korea,54.9,85,116,201,2020
8,Nouha Landoulsi,Tunisia,54.85,88,108,196,2020
9,Ana Gabriela López,Mexico,54.8,90,105,195,2020
10,Joanna Łochowska,Poland,54.7,84,102,186,2020
11,Kanae Yagi,Japan,54.75,81,102,183,2020
12,Rachel Leblanc-Bazinet,Canada,54.9,82,99,181,2020
13,Chiang Nien-hsin,Chinese Taipei,54.8,81,95,176,2020
14,Mary Kini Lifu,Solomon Islands,54.5,67,87,154,2020
1,Kuo Hsing-chun,Chinese Taipei,58.65,103,133,236,2020
2,Polina Guryeva,Turkmenistan,58.95,96,121,217,2020
3,Mikiko Ando,Japan,58.7,94,120,214,2020
4,Dora Tchakounté,France,58.55,96,117,213,2020
5,Hoàng Thị Duyên,Vietnam,58.65,95,113,208,2020
6,Yusleidy Figueroa,Venezuela,58.8,91,115,206,2020
7,Izabella Yaylyan,Armenia,58.15,95,110,205,2020
8,Zoe Smith,Great Britain,58.95,87,113,200,2020
9,Tali Darsigny,Canada,59.0,90,109,199,2020
10,Sabine Kusterer,Germany,58.7,91,107,198,2020
11,Maria Grazia Alemanno,Italy,58.95,85,100,185,2020
12,Erika Yamasaki,Australia,58.75,75,95,170,2020
1,Maude Charron,Canada,63.3,105,131,236,2020
2,Giorgia Bordignon,Italy,63.7,104,128,232,2020
3,Chen Wen-huei,Chinese Taipei,63.9,103,127,230,2020
4,Mercedes Pérez,Colombia,63.7,101,126,227,2020
5,Sarah Davies,Great Britain,63.9,100,127,227,2020
6,Angie Palacios,Ecuador,63.55,104,122,226,2020
7,Elreen Ando,Philippines,63.15,100,122,222,2020
8,Marina Rodríguez,Cuba,64.0,98,123,221,2020
9,Nuray Levent,Turkey,63.1,100,120,220,2020
10,Lisa Schweizer,Germany,63.6,100,117,217,2020
11,Kiana Elliott,Australia,63.4,101,108,209,2020
12,Sema Ludrick,Nicaragua,64.0,87,115,202,2020
13,Yasmin Zammit Stevens,Malta,63.7,84,105,189,2020
1,Neisi Dajomes,Ecuador,75.1,118,145,263,2020
2,Katherine Nye,United States,75.15,111,138,249,2020
3,Aremi Fuentes,Mexico,75.65,108,137,245,2020
4,Patricia Strenius,Sweden,72.8,102,133,235,2020
5,Darya Naumava,Belarus,75.3,103,131,234,2020
6,Kumushkhon Fayzullaeva,Uzbekistan,71.8,101,126,227,2020
7,Emily Muskett,Great Britain,71.85,98,124,222,2020
8,Kristel Ngarlem,Canada,75.35,95,123,218,2020
9,Mahassen Fattouh,Lebanon,69.6,93,124,217,2020
10,Nancy Genzel Abouke,Nauru,71.8,90,113,203,2020
11,Jeanne Gaëlle Eyenga,Cameroon,75.5,91,111,202,2020
1,Wang Zhouyu,China,84.2,120,150,270,2020
2,Tamara Salazar,Ecuador,85.3,113,150,263,2020
3,Crismery Santana,Dominican Republic,86.5,116,140,256,2020
4,Mönkhjantsangiin Ankhtsetseg,Mongolia,86.95,110,142,252,2020
5,Gaëlle Nayo-Ketchanke,France,84.05,108,139,247,2020
6,Mattie Rogers,United States,78.55,108,138,246,2020
7,Naryury Pérez,Venezuela,86.35,112,130,242,2020
8,Elena Cîlcic,Moldova,86.8,105,135,240,2020
9,Kang Yeoun-hee,South Korea,76.7,103,128,231,2020
10,Lidia Valentín,Spain,80.6,103,122,225,2020
11,Clementine Meukeugni,Cameroon,85.85,99,125,224,2020
1,Li Wenwen,China,150.1,140,180,320,2020
2,Emily Campbell,Great Britain,124.8,122,161,283,2020
3,Sarah Robles,United States,148.3,128,154,282,2020
4,Lee Seon-mi,South Korea,118.9,125,152,277,2020
5,Nurul Akmal,Indonesia,113.55,115,141,256,2020
6,Charisma Amoe-Tarrant,Australia,154.05,105,138,243,2020
7,Verónica Saladín,Dominican Republic,126.2,111,131,242,2020
8,Kuinini Manumua,Tonga,108.5,103,125,228,2020
9,Eyurkenia Duverger,Cuba,103.65,96,129,225,2020
10,Sarah Fischer,Austria,93.35,97,123,220,2020
11,Anna Van Bellinghen,Belgium,87.1,96,123,219,2020
13,Scarleth Ucelo,Guatemala,113.5,87,116,203,2020
